epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.95123,0.89885,4.88162,1.10505,0.05756,0.1,0.01967,0.01572,0.69524,5.15026,1.00365,5.001e-05,5.001e-05,5.001e-05
2,9.21338,0.89916,5.53162,1.14653,0.06887,0.15357,0.06146,0.05291,0.72473,4.91474,0.98455,0.000114765,0.000114765,0.000114765
3,10.6968,0.68774,3.09354,0.94133,0.48262,0.74643,0.61757,0.53895,0.50595,4.13325,0.81616,0.000177319,0.000177319,0.000177319
4,12.1704,0.66261,1.32569,0.87629,0.86106,0.84643,0.90072,0.76034,0.55323,2.20425,0.8617,0.000237673,0.000237673,0.000237673
5,13.5828,0.65915,1.12285,0.91748,0.88977,0.78214,0.94748,0.75653,0.61497,2.30678,0.87064,0.000295826,0.000295826,0.000295826
6,15.0246,0.61542,1.08757,0.89078,0.94474,0.84643,0.944,0.78723,0.60463,1.7564,0.88416,0.000351779,0.000351779,0.000351779
7,16.5424,0.58362,0.95692,0.88312,0.94969,0.87772,0.97333,0.84151,0.61611,1.69262,0.88506,0.000405531,0.000405531,0.000405531
8,17.9334,0.61616,0.88381,0.86934,0.85444,0.85594,0.89666,0.74961,0.65561,1.38697,0.88691,0.000457083,0.000457083,0.000457083
9,19.2682,0.63188,0.77071,0.89457,0.94545,0.76429,0.90363,0.7461,0.61896,1.3386,0.88035,0.000506435,0.000506435,0.000506435
10,20.5923,0.6074,0.79791,0.92864,0.80505,0.69746,0.82224,0.65583,0.64797,1.25898,0.88743,0.000553586,0.000553586,0.000553586
11,21.9974,0.68399,0.7739,0.93528,0.7537,0.72673,0.75914,0.60701,0.68161,1.15369,0.90047,0.000598536,0.000598536,0.000598536
12,23.3816,0.76145,0.91774,0.96657,0.79787,0.74643,0.81721,0.60981,0.73691,1.03515,0.92147,0.000641287,0.000641287,0.000641287
13,24.7162,0.6707,0.68195,0.88724,0.6624,0.74425,0.72672,0.49494,0.76291,1.27746,0.96325,0.000681836,0.000681836,0.000681836
14,26.0017,0.6358,0.68383,0.91426,0.57942,0.63303,0.63452,0.49529,0.72283,1.21993,0.93415,0.000720186,0.000720186,0.000720186
15,27.3224,0.64025,0.63302,0.91458,0.57124,0.61034,0.77564,0.67976,0.73493,4.11586,0.97936,0.000756335,0.000756335,0.000756335
16,28.6188,0.62425,0.61847,0.89471,0.77211,0.77422,0.81823,0.63038,0.76145,1.57244,0.97792,0.000790283,0.000790283,0.000790283
17,29.8849,0.62326,0.59209,0.90743,0.51655,0.66429,0.61196,0.4808,0.79038,1.47562,1.00505,0.000822031,0.000822031,0.000822031
18,31.1815,0.66337,0.54246,0.90812,0.69912,0.83026,0.86521,0.69401,0.77756,0.95718,0.97411,0.000851579,0.000851579,0.000851579
19,32.4755,0.58214,0.55835,0.87842,0.8783,0.85268,0.9007,0.73595,0.74504,0.75547,0.9696,0.000878926,0.000878926,0.000878926
20,33.7556,0.66883,0.62028,0.92554,0.8993,0.72643,0.9009,0.75085,0.70486,0.94942,0.93403,0.000904072,0.000904072,0.000904072
21,35.0503,0.6271,0.6998,0.95236,0.48737,0.78214,0.5651,0.45212,0.73344,1.60373,0.94819,0.000927019,0.000927019,0.000927019
22,36.3282,0.60735,0.56949,0.88305,0.4802,0.66429,0.49672,0.41892,0.69255,1.22109,0.92925,0.000947765,0.000947765,0.000947765
23,37.6028,0.70354,0.69793,0.93547,0.54425,0.71599,0.5591,0.45512,0.70595,1.38566,0.93139,0.00096631,0.00096631,0.00096631
24,38.8839,0.62127,0.54897,0.90049,0.6927,0.71163,0.76287,0.5889,0.7261,1.52645,0.93311,0.000982655,0.000982655,0.000982655
25,40.1619,0.59726,0.56577,0.89182,0.55019,0.97028,0.84217,0.63379,0.69968,1.95637,0.93136,0.000996799,0.000996799,0.000996799
26,41.4364,0.64883,0.57187,0.88765,0.61447,0.90678,0.9011,0.7516,0.68474,1.50064,0.92824,0.000979362,0.000979362,0.000979362
27,42.6974,0.67291,0.67442,0.88294,0.62625,0.78214,0.75616,0.64831,0.66993,1.362,0.91905,0.000951857,0.000951857,0.000951857
28,43.9727,0.58648,0.53511,0.90472,0.65673,0.77388,0.68041,0.57636,0.67145,0.97599,0.92624,0.000924352,0.000924352,0.000924352
29,45.2497,0.62969,0.57116,0.89669,0.57372,0.82197,0.75625,0.61815,0.6718,1.35418,0.93188,0.000896846,0.000896846,0.000896846
30,46.5575,0.59737,0.55412,0.86614,0.62141,0.84003,0.83913,0.66812,0.67124,1.25558,0.93062,0.00086934,0.00086934,0.00086934
31,47.8761,0.62572,0.50142,0.88189,0.92658,0.78214,0.90033,0.73886,0.69849,0.83108,0.93478,0.000841835,0.000841835,0.000841835
32,49.1926,0.54339,0.49271,0.88368,0.79582,0.98214,0.94,0.80275,0.69459,0.7092,0.93902,0.000814329,0.000814329,0.000814329
33,50.4625,0.54236,0.48662,0.87097,0.72257,0.77524,0.87665,0.77341,0.64695,0.8492,0.91728,0.000786824,0.000786824,0.000786824
34,51.7399,0.52398,0.4685,0.8775,0.62569,0.82879,0.86515,0.77202,0.60582,1.11973,0.89529,0.000759318,0.000759318,0.000759318
35,53.0072,0.61127,0.53939,0.90899,0.64714,0.86429,0.84399,0.75178,0.6016,0.91072,0.88593,0.000731813,0.000731813,0.000731813
36,54.2821,0.52921,0.43519,0.88293,0.90966,0.72858,0.87308,0.7957,0.59935,0.70908,0.89463,0.000704307,0.000704307,0.000704307
37,55.5457,0.51379,0.44758,0.86215,0.91906,0.71327,0.87872,0.80953,0.58719,0.63167,0.89663,0.000676802,0.000676802,0.000676802
38,56.8345,0.48056,0.43242,0.85894,0.98542,0.80348,0.93265,0.8449,0.5939,0.63624,0.90084,0.000649297,0.000649297,0.000649297
39,58.1441,0.57453,0.52875,0.88976,0.96262,0.81071,0.93404,0.84463,0.60634,0.62209,0.90993,0.000621791,0.000621791,0.000621791
40,59.4268,0.50935,0.45821,0.88339,0.99259,0.94039,0.97521,0.85202,0.61731,0.64251,0.91236,0.000594286,0.000594286,0.000594286
41,60.7523,0.52072,0.43906,0.86088,0.96058,0.74643,0.86532,0.73315,0.64593,0.63899,0.92938,0.00056678,0.00056678,0.00056678
42,62.042,0.47242,0.38473,0.85234,0.97658,0.76429,0.88771,0.72165,0.63166,0.51271,0.93851,0.000539275,0.000539275,0.000539275
43,63.3672,0.46332,0.37007,0.84758,0.89544,0.98214,0.97533,0.75466,0.63541,0.45926,0.9551,0.000511769,0.000511769,0.000511769
44,64.679,0.46394,0.39618,0.85487,0.98919,0.98214,0.99273,0.7539,0.64145,0.42105,0.9694,0.000484263,0.000484263,0.000484263
45,65.9529,0.51406,0.40533,0.86573,0.98914,0.98214,0.99313,0.76952,0.6676,0.42794,0.99938,0.000456758,0.000456758,0.000456758
46,67.2363,0.51384,0.40197,0.86623,0.98725,0.98214,0.99355,0.77462,0.66635,0.41571,1.00501,0.000429253,0.000429253,0.000429253
47,68.5539,0.48778,0.39577,0.8433,0.98657,0.98214,0.99355,0.76981,0.64282,0.4163,0.98585,0.000401747,0.000401747,0.000401747
48,69.8406,0.47762,0.38917,0.85369,0.98499,0.98214,0.994,0.77733,0.62692,0.39371,0.97097,0.000374242,0.000374242,0.000374242
49,71.0962,0.48579,0.38509,0.87151,0.98398,0.98214,0.99448,0.80436,0.6134,0.38202,0.96318,0.000346736,0.000346736,0.000346736
50,72.373,0.45335,0.37878,0.83154,0.98775,0.98214,0.99448,0.83025,0.6004,0.36515,0.95337,0.000319231,0.000319231,0.000319231
51,78.4785,0.37952,0.34501,0.83447,0.98771,0.98214,0.99448,0.88781,0.54348,0.36754,0.9081,0.000291725,0.000291725,0.000291725
52,80.3462,0.42337,0.34388,0.80926,0.9847,0.98214,0.99448,0.88085,0.53075,0.36477,0.90352,0.00026422,0.00026422,0.00026422
53,81.6615,0.44336,0.3396,0.86585,0.97797,0.9846,0.99448,0.88105,0.52344,0.36802,0.90108,0.000236714,0.000236714,0.000236714
54,82.9171,0.39957,0.32367,0.82232,0.97956,0.97445,0.994,0.88324,0.52301,0.37512,0.89486,0.000209209,0.000209209,0.000209209
55,84.1676,0.42328,0.35506,0.83875,0.98102,0.97906,0.994,0.88481,0.52429,0.37809,0.89376,0.000181703,0.000181703,0.000181703
56,85.411,0.39677,0.32309,0.82404,0.98079,0.98214,0.994,0.8828,0.52577,0.37584,0.89091,0.000154198,0.000154198,0.000154198
57,86.6895,0.40677,0.33587,0.83713,0.97957,0.98214,0.99448,0.88496,0.51962,0.36615,0.88479,0.000126692,0.000126692,0.000126692
58,87.9784,0.39562,0.32454,0.8053,0.9778,0.98214,0.99448,0.89276,0.51437,0.35605,0.88232,9.91865e-05,9.91865e-05,9.91865e-05
59,89.2474,0.37867,0.30807,0.83375,0.98115,0.98214,0.99448,0.89407,0.50973,0.35001,0.88022,7.1681e-05,7.1681e-05,7.1681e-05
60,90.5415,0.3745,0.31567,0.82128,0.95997,0.98214,0.99448,0.88923,0.50816,0.34491,0.87964,4.41755e-05,4.41755e-05,4.41755e-05
